Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,/chat [first_token],335,0,4500,4775.824217614718,1723.062100005336,14786.372900009155,746.1343283582089,1.1198653539594268,0.0,4500,4900,5300,5500,6300,6900,8000,8800,15000,15000,15000
POST,/chat [total],670,0,1300,7318.620090150629,69.81709995307028,50197.291899938136,373.06716417910445,2.2397307079188535,0.0,3700,9300,11000,12000,16000,25000,46000,48000,50000,50000,50000
GET,/health,39,0,240,257.93045128767307,132.53559998702258,816.6921999072656,15.0,0.13037238449079894,0.0,240,260,270,300,310,400,820,820,820,820,820
,Aggregated,1044,0,4400,6238.923238411945,69.81709995307028,50197.291899938136,479.4013409961686,3.4899684463690788,0.0,4400,6500,8900,9700,14000,22000,39000,47000,50000,50000,50000
