Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,/chat [first_token],240,0,22000,23647.612381250656,13722.707899985835,42117.08479991648,638.0208333333334,0.8049431377310761,0.0,22000,25000,26000,29000,34000,36000,39000,40000,42000,42000,42000
POST,/chat [total],481,1,2900,42135.761983577904,160.44150001835078,292116.7716999771,318.34719334719335,1.6132402052026984,0.0033539297405461503,2900,57000,68000,75000,93000,150000,262000,267000,292000,292000,292000
GET,/health,26,0,1100,1287.5942884442898,165.29490007087588,3401.448499993421,15.0,0.0872021732541999,0.0,1200,1500,1600,1600,2000,2800,3400,3400,3400,3400,3400
,Aggregated,747,1,22000,34774.03739906381,160.44150001835078,292116.7716999771,410.49531459170015,2.5053855161879746,0.0033539297405461503,22000,36000,54000,58000,83000,98000,158000,262000,292000,292000,292000
