Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
TTFT,/chat [first_token],287,0,10000,10582.135903833592,2163.658899953589,18541.29570000805,700.0905923344948,0.9636956012082056,0.0,10000,11000,12000,13000,14000,15000,17000,17000,19000,19000,19000
POST,/chat [total],576,2,1800,20521.559796179838,166.75700002815574,152311.46400002763,348.8298611111111,1.9341068512053186,0.006715648788907356,1900,26000,28000,33000,43000,72000,124000,144000,152000,152000,152000
GET,/health,40,0,580,651.1157400003867,172.16369998641312,1327.2802999708802,15.0,0.13431297577814713,0.0,630,670,770,800,890,1300,1300,1300,1300,1300,1300
,Aggregated,903,2,10000,16482.321236544674,166.75700002815574,152311.46400002763,445.68327796234774,3.032115428191671,0.006715648788907356,10000,14000,25000,27000,39000,61000,119000,134000,152000,152000,152000
